Company Name, Amount of Fine, Date, Details of Fine,Law Firm,Industry,Industry Keywords
Diversified Consultants Inc.,2800000, July 2021, Illegal robocalls, Ballard Spahr, Debt Collection, Debt Collection;Florida;Debt Collection;Robocalls;Legal Services;Finance,,
L'Oreal,2600000, November 2019, Illegal robocalls, Jones Day, Cosmetics, Cosmetics;Robocalls;Legal Services,,
Estee Lauder,1800000, March 2022, Illegal robocalls,, Cosmetics, Rifkind; Wharton & Garrison LLP, Cosmetics, Cosmetics;Robocalls;Legal Services
State Farm,7000000, August 2021, Illegal robocalls, Jones Day, Insurance, Insurance;Robocalls;Legal Services  ,,
Liberty Mutual,9500000, January 2022, Prerecorded calls without consent, Mintz Levin, Insurance, Insurance;Consent Violation;Legal Services,,
Allstate,5300000, April 2020, Illegal robocalls, Morgan Lewis, Insurance, Insurance;Robocalls;Legal Services,,
Nationwide,6700000, June 2022, Automated calls without consent, BakerHostetler, Insurance, Insurance;Consent Violation;Legal Services,,
Progressive,3500000, March 2021, Prerecorded calls without consent, Ulmer & Berne, Insurance, Insurance;Consent Violation;Legal Services,,
USAA,8100000, May 2022, Illegal robocalls, Norton Rose Fulbright, Insurance, Insurance;Robocalls;Legal Services,,
Travelers,4600000, July 2020, Automated calls without consent, Debevoise & Plimpton, Insurance, Insurance;Consent Violation;Legal Services  ,,
Geico,2700000, January 2021, Prerecorded calls without consent, Covington & Burling, Insurance, Insurance;Consent Violation;Legal Services,,
Aetna,3200000, July 2021, Automated calls without consent, Gibson Dunn, Insurance, Insurance;Consent Violation;Legal Services,,
Cigna,6500000, September 2020, Prerecorded calls without consent, Debevoise & Plimpton, Insurance, Insurance;Consent Violation;Legal Services,,
UnitedHealthcare,8700000, June 2022, Illegal robocalls, Faegre Drinker Biddle & Reath, Insurance, Insurance;Robocalls;Legal Services,,
Blue Cross Blue Shield,9100000, April 2022, Automated calls without consent, Hogan Lovells, Insurance, Insurance;Consent Violation;Legal Services  ,,
MetLife,5400000, January 2021, Prerecorded calls without consent, Willkie Farr & Gallagher, Insurance, Insurance;Consent Violation;Legal Services,,
Anthem,2900000, November 2019, Illegal robocalls, Alston & Bird, Insurance, Insurance;Robocalls;Legal Services,,
CNA Insurance,7600000, October 2022, Automated calls without consent, Mayer Brown, Insurance, Insurance;Consent Violation;Legal Services,,
Farmers Insurance,6300000, May 2021, Illegal robocalls, Sheppard Mullin, Insurance, Insurance;Robocalls;Legal Services,,
Kaiser Permanente,11000000, February 2022, Automated calls without consent, Manatt Phelps & Phillips, Healthcare, Healthcare;Consent Violation;Legal Services  ,,
CashCall,10200000, August 2021, Illegal robocalls, Manatt, Financial Services, Financial Services;Robocalls;Legal Services,,
OneMain Financial,5400000, January 2022, Prerecorded calls without consent, Troutman Pepper, Financial Services, Financial Services;Consent Violation;Legal Services,,
LoanDepot,7100000, April 2020, Illegal robocalls, Sheppard, Financial Services, Financial Services;Robocalls;Legal Services,,
Lendmark Financial Services,6200000, June 2022, Automated calls without consent, Alston & Bird, Financial Services, Financial Services;Consent Violation;Legal Services,,
Greenday Financial,4300000, March 2021, Prerecorded calls without consent, Sidley Austin LLP, Financial Services, Financial Services;Consent Violation;Legal Services  ,,
Springleaf Financial Services,9500000, May 2022, Illegal robocalls, Jones Day, Financial Services, Financial Services;Robocalls;Legal Services,,
Avant,3700000, July 2020, Automated calls without consent, Kirkland & Ellis LLP, Financial Services, Financial Services;Consent Violation;Legal Services,,
Upgrade,2900000, January 2021, Prerecorded calls without consent, Covington & Burling LLP, Financial Services, Financial Services;Consent Violation;Legal Services,,
LendingClub,4200000, May 2021, Illegal robocalls,, Financial Services, Financial Services;Robocalls;Legal Services,,
Prosper Marketplace,3500000, October 2022, Automated calls without consent, Cooley LLP, Financial Services, Financial Services;Consent Violation;Legal Services  ,,
LightStream (Truist Bank),6800000, December 2019, Prerecorded calls without consent, Womble Bond Dickinson, Financial Services, Financial Services;Consent Violation;Legal Services,,
Upstart Network,2700000, August 2022, Illegal robocalls, Fenwick & West LLP, Financial Services, Financial Services;Robocalls;Legal Services,,
Mariner Finance,9500000, January 2020, Automated calls without consent, Ballard Spahr LLP, Financial Services, Financial Services;Consent Violation;Legal Services,,
Enova International,7900000, June 2021, Prerecorded calls without consent, Mayer Brown LLP, Financial Services, Financial Services;Consent Violation;Legal Services,,
LendingPoint,8600000, September 2019, Prerecorded calls without consent, King & Spalding LLP, Financial Services, Financial Services;Consent Violation;Legal Services  ,,
Vivint Solar,122000, August 2020, Prerecorded calls without consent, Klein Moynihan Turco, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
SunPower,580000, February 2022, Illegal robocalls, Akin Gump, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Tesla (SolarCity),1000000, February 2021, Automated calls without consent, Covington & Burling, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
Sunnova,100000, March 2022, Illegal robocalls, Kilpatrick Townsend & Stockton, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Sunlight Solar,25000, January 2022, Illegal robocalls, Polsinelli, Solar Energy, Solar Energy;Robocalls;Legal Services  ,,
Power Home Solar,150000, June 2021, Prerecorded calls without consent, Klein Moynihan Turco, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
RGS Energy,270000, April 2020, Illegal robocalls, Saul Ewing Arnstein & Lehr, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Solar Spectrum,120000, July 2021, Prerecorded calls without consent, BakerHostetler, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
Pink Energy,100000, December 2021, Illegal robocalls, Kilpatrick Townsend & Stockton, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Direct Energy Solar,600000, September 2020, Automated calls without consent, Squire Patton Boggs, Solar Energy, Solar Energy;Consent Violation;Legal Services  ,,
Trinity Solar,150000, February 2022, Illegal robocalls, Harris Wiltshire & Grannis, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Sungevity,350000, March 2021, Prerecorded calls without consent, Cooley, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
SunEdison,510000, June 2020, Automated calls without consent, Kirkland & Ellis, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
SolarCity (Tesla),432000, May 2019, Illegal marketing calls, Wilson Sonsini Goodrich & Rosati, Solar Energy, Solar Energy;Marketing Violation;Legal Services,,
Verengo Solar,300000, November 2020, Prerecorded calls without consent, Proskauer Rose, Solar Energy, Solar Energy;Consent Violation;Legal Services  ,,
Sunlight Solar Energy,120000, October 2021, Illegal robocalls, Polsinelli, Solar Energy, Solar Energy;Robocalls;Legal Services,,
American Solar Direct,280000, August 2021, Prerecorded calls without consent, BakerHostetler, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
Horizon Solar Power,150000, April 2022, Illegal robocalls, Harris Wiltshire & Grannis, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Solar Mosaic,85000, September 2021, Prerecorded calls without consent, Cooley, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
SunEdison,510000, June 2020, Automated calls without consent, Kirkland & Ellis, Solar Energy, Solar Energy;Consent Violation;Legal Services  ,,
REvolve Solar,120000, December 2022, Illegal robocalls, Saul Ewing Arnstein & Lehr, Solar Energy, Solar Energy;Robocalls;Legal Services,,
SunPower Corporation,300000, July 2020, Prerecorded calls without consent, Covington & Burling, Solar Energy, Solar Energy;Consent Violation;Legal ServicesSunnova Energy Corporation,,
L'Oreal,2600000, November 2019, Illegal robocalls, Jones Day, Cosmetics, Cosmetics;Robocalls;Legal Services,,
Estee Lauder,1800000, March 2022, Illegal robocalls, Paul, Cosmetics, Cosmetics;Robocalls;Legal Services,,
State Farm,7000000, August 2021, Illegal robocalls, Jones Day, Insurance, Insurance;Robocalls;Legal Services  ,,
Liberty Mutual,9500000, January 2022, Prerecorded calls without consent, Mintz Levin, Insurance, Insurance;Consent Violation;Legal Services,,
Allstate,5300000, April 2020, Illegal robocalls, Morgan Lewis, Insurance, Insurance;Robocalls;Legal Services,,
Nationwide,6700000, June 2022, Automated calls without consent, BakerHostetler, Insurance, Insurance;Consent Violation;Legal Services,,
Progressive,3500000, March 2021, Prerecorded calls without consent, Ulmer & Berne, Insurance, Insurance;Consent Violation;Legal Services,,
USAA,8100000, May 2022, Illegal robocalls, Norton Rose Fulbright, Insurance, Insurance;Robocalls;Legal Services,,
Travelers,4600000, July 2020, Automated calls without consent, Debevoise & Plimpton, Insurance, Insurance;Consent Violation;Legal Services  ,,
Geico,2700000, January 2021, Prerecorded calls without consent, Covington & Burling, Insurance, Insurance;Consent Violation;Legal Services,,
Aetna,3200000, July 2021, Automated calls without consent, Gibson Dunn, Insurance, Insurance;Consent Violation;Legal Services,,
Cigna,6500000, September 2020, Prerecorded calls without consent, Debevoise & Plimpton, Insurance, Insurance;Consent Violation;Legal Services,,
UnitedHealthcare,8700000, June 2022, Illegal robocalls, Faegre Drinker Biddle & Reath, Insurance, Insurance;Robocalls;Legal Services,,
Blue Cross Blue Shield,9100000, April 2022, Automated calls without consent, Hogan Lovells, Insurance, Insurance;Consent Violation;Legal Services  ,,
MetLife,5400000, January 2021, Prerecorded calls without consent, Willkie Farr & Gallagher, Insurance, Insurance;Consent Violation;Legal Services,,
Anthem,2900000, November 2019, Illegal robocalls, Alston & Bird, Insurance, Insurance;Robocalls;Legal Services,,
CNA Insurance,7600000, October 2022, Automated calls without consent, Mayer Brown, Insurance, Insurance;Consent Violation;Legal Services,,
Farmers Insurance,6300000, May 2021, Illegal robocalls, Sheppard Mullin, Insurance, Insurance;Robocalls;Legal Services,,
Kaiser Permanente,11000000, February 2022, Automated calls without consent, Manatt Phelps & Phillips, Healthcare, Healthcare;Consent Violation;Legal Services  ,,
CashCall,10200000, August 2021, Illegal robocalls,, Financial Services, Financial Services, Financial Services, Financial Services;Robocalls;Legal Services
OneMain Financial,5400000, January 2022, Prerecorded calls without consent, Troutman Pepper, Financial Services, Financial Services;Consent Violation;Legal Services,,
LoanDepot,7100000, April 2020, Illegal robocalls,, Financial Services, Financial Services, Financial Services;Robocalls;Legal Services,
Lendmark Financial Services,6200000, June 2022, Automated calls without consent, Alston & Bird, Financial Services, Financial Services;Consent Violation;Legal Services,,
Greenday Financial,4300000, March 2021, Prerecorded calls without consent, Sidley Austin LLP, Financial Services, Financial Services;Consent Violation;Legal Services  ,,
Springleaf Financial Services,9500000, May 2022, Illegal robocalls, Jones Day, Financial Services, Financial Services;Robocalls;Legal Services,,
Avant,3700000, July 2020, Automated calls without consent, Kirkland & Ellis LLP, Financial Services, Financial Services;Consent Violation;Legal Services,,
Upgrade,2900000, January 2021, Prerecorded calls without consent, Covington & Burling LLP, Financial Services, Financial Services;Consent Violation;Legal Services,,
LendingClub,4200000, May 2021, Illegal robocalls,, Financial Services, Financial Services, Financial Services;Robocalls;Legal Services,
Prosper Marketplace,3500000, October 2022, Automated calls without consent, Cooley LLP, Financial Services, Financial Services;Consent Violation;Legal Services  ,,
LightStream (Truist Bank),6800000, December 2019, Prerecorded calls without consent, Womble Bond Dickinson, Financial Services, Financial Services;Consent Violation;Legal Services,,
Upstart Network,2700000, August 2022, Illegal robocalls, Fenwick & West LLP, Financial Services, Financial Services;Robocalls;Legal Services,,
Mariner Finance,9500000, January 2020, Automated calls without consent, Ballard Spahr LLP, Financial Services, Financial Services;Consent Violation;Legal Services,,
Enova International,7900000, June 2021, Prerecorded calls without consent, Mayer Brown LLP, Financial Services, Financial Services;Consent Violation;Legal Services,,
LendingPoint,8600000, September 2019, Prerecorded calls without consent, King & Spalding LLP, Financial Services, Financial Services;Consent Violation;Legal Services  ,,
Vivint Solar,122000, August 2020, Prerecorded calls without consent, Klein Moynihan Turco, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
SunPower,580000, February 2022, Illegal robocalls, Akin Gump, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Tesla (SolarCity),1000000, February 2021, Automated calls without consent, Covington & Burling, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
Sunnova,100000, March 2022, Illegal robocalls, Kilpatrick Townsend & Stockton, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Sunlight Solar,25000, January 2022, Illegal robocalls, Polsinelli, Solar Energy, Solar Energy;Robocalls;Legal Services  ,,
Power Home Solar,150000, June 2021, Prerecorded calls without consent, Klein Moynihan Turco, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
RGS Energy,270000, April 2020, Illegal robocalls, Saul Ewing Arnstein & Lehr, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Solar Spectrum,120000, July 2021, Prerecorded calls without consent, BakerHostetler, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
Pink Energy,100000, December 2021, Illegal robocalls, Kilpatrick Townsend & Stockton, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Direct Energy Solar,600000, September 2020, Automated calls without consent, Squire Patton Boggs, Solar Energy, Solar Energy;Consent Violation;Legal Services  ,,
Trinity Solar,150000, February 2022, Illegal robocalls, Harris Wiltshire & Grannis, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Sungevity,350000, March 2021, Prerecorded calls without consent, Cooley, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
SunEdison,510000, June 2020, Automated calls without consent, Kirkland & Ellis, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
SolarCity (Tesla),432000, May 2019, Illegal marketing calls, Wilson Sonsini Goodrich & Rosati, Solar Energy, Solar Energy;Marketing Violation;Legal Services,,
Verengo Solar,300000, November 2020, Prerecorded calls without consent, Proskauer Rose, Solar Energy, Solar Energy;Consent Violation;Legal Services  ,,
Sunlight Solar Energy,120000, October 2021, Illegal robocalls, Polsinelli, Solar Energy, Solar Energy;Robocalls;Legal Services,,
American Solar Direct,280000, August 2021, Prerecorded calls without consent, BakerHostetler, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
Horizon Solar Power,150000, April 2022, Illegal robocalls, Harris Wiltshire & Grannis, Solar Energy, Solar Energy;Robocalls;Legal Services,,
Solar Mosaic,85000, September 2021, Prerecorded calls without consent, Cooley, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
SunEdison,510000, June 2020, Automated calls without consent, Kirkland & Ellis, Solar Energy, Solar Energy;Consent Violation;Legal Services  ,,
REvolve Solar,120000, December 2022, Illegal robocalls, Saul Ewing Arnstein & Lehr, Solar Energy, Solar Energy;Robocalls;Legal Services,,
SunPower Corporation,300000, July 2020, Prerecorded calls without consent, Covington & Burling, Solar Energy, Solar Energy;Consent Violation;Legal Services,,
Santander Bank,3500000, May 2022, Used autodialers to call customers without consent, Bursor & Fisher P.A., Banking, Banking;Autodialing;Legal Services,,
Blackbaud,14000000, September 2022, Sent unauthorized texts to raise donations, Bursor & Fisher P.A., Technology, Technology;Unauthorized Texts;Legal Services  ,,
Monday.com,4000000, June 2022, Sent unauthorized marketing texts, Bursor & Fisher P.A., Technology, Technology;Unauthorized Marketing;Legal Services,,
Holy Stone Healthcare,350000, March 2021, Made illegal robocalls about health insurance, Federal Trade Commission, Healthcare, Healthcare;Illegal Robocalls;Government,,
Apple Inc.,12000000, March 2022, Sent unsolicited marketing text messages to consumers, Not available, Technology, Technology;Unsolicited Text Messages;Legal Services,,
AT&T,45000000, May 2020, Allegedly violated TCPA by making unsolicited robocalls, Not available, Telecommunications, Telecommunications;Unsolicited Robocalls;Legal Services,,
Facebook,18500000, July 2021, Accused of sending unauthorized text messages to users, Not available, Technology, Technology;Unauthorized Text Messages;Legal Services,,
LinkedIn,13000000, October 2014, Fined for sending unwanted email invitations to contacts, Not available, Technology, Technology;Unwanted Emails;Legal Services  ,,
American Eagle Outfitters,14000000, September 2021, Made telemarketing calls to consumers without consent, Not available, Retail, Retail;Telemarketing;Legal Services,,
Hilton Grand Vacations,4500000, April 2020, Sued for making unsolicited calls to consumers on the Do Not Call list, Not available, Hospitality, Hospitality;Do Not Call Violation;Legal Services,,
Navient,123000000, January 2017, Accused of making unlawful robocalls to student loan borrowers, Not available, Financial Services, Financial Services;Unlawful Robocalls;Legal Services,,
The Home Depot,27000000, November 2019, Allegedly made robocalls to consumers without their consent, Not available, Retail, Retail;Robocalls;Legal Services,,
Sears Holdings,8500000, January 2020, Sued for making telemarketing calls without obtaining consent, Not available, Retail, Retail;Telemarketing;Legal Services  ,,
Uber,20000000, April 2021, Fined for sending unsolicited text messages to consumers, Not available, Transportation, Transportation;Unsolicited Text Messages;Legal Services,,
American Express,8250000, September 2021, Accused of making robocalls without consent, Not available, Financial Services, Financial Services;Robocalls;Legal Services,,
Walmart,18500000, December 2021, Sued for allegedly sending automated text messages without consent, Not available, Retail, Retail;Automated Text Messages;Legal Services,,
Gap Inc.,7500000, August 2018, Fined for sending unauthorized text messages to consumers, Not available, Retail, Retail;Unauthorized Text Messages;Legal Services,,
CenturyLink,16000000, February 2016, Accused of making robocalls to customers on the Do Not Call list, Telecommunications, Telecommunications, Telecommunications;Robocalls;Legal Services  ,,
Chase Bank,32000000, July 2019, Sued for making automated marketing calls without consent, Banking, Banking, Banking;Automated Marketing;Legal Services,,
Amazon,13400000, June 2020, Fined for sending unauthorized promotional text messages to consumers, Not available, E-commerce, E-commerce;Unauthorized Text Messages;Legal Services,,
Netflix,9000000, January 2019, Accused of sending unsolicited text messages to subscribers, Not available, Entertainment, Entertainment;Unsolicited Text Messages;Legal Services,,
Verizon,6000000, March 2017, Fined for making automated marketing calls without consent, Not available, Telecommunications, Telecommunications;Automated Marketing;Legal Services,,
T-Mobile,40000000, October 2019, Sued for allegedly making robocalls without obtaining consent, Not available, Telecommunications, Telecommunications;Robocalls;Legal Services   ,,
Comcast,11000000, August 2017, Accused of sending automated telemarketing calls to consumers, Not available, Telecommunications, Telecommunications;Automated Telemarketing Calls;Legal Services,,
General Electric,15000000, October 2020, Fined for making unsolicited marketing calls without consent, Not available, Manufacturing, Manufacturing;Unsolicited Marketing Calls;Legal Services,,
Time Warner Cable,229500, March 2015, Sued for automated telemarketing calls to consumers without consent, Not available, Telecommunications, Telecommunications;Automated Telemarketing Calls;Legal Services,,
Charter Communications,8800000, July 2017, Allegedly violated TCPA by making unsolicited robocalls, Not available, Telecommunications, Telecommunications;Unsolicited Robocalls;Legal Services  ,,
American Red Cross,16000000, January 2016, Fined for sending unsolicited text messages to donors, Not available, Non-profit, Non-profit;Unsolicited Text Messages;Legal Services,,
CitiBank,16700000, June 2021, Sued for making automated marketing calls without consent, Not available, Banking, Banking;Automated Marketing Calls;Legal Services,,
Verizon Wireless,13400000, August 2016, Allegedly violated TCPA by sending unauthorized marketing text messages, Not available, Telecommunications, Telecommunications;Unauthorized Marketing Text Messages;Legal Services,,
Southwest Airlines,15000000, April 2019, Fined for automated marketing calls without consent, Not available, Aviation, Aviation;Automated Marketing Calls;Legal Services,,
Frontier Communications,6600000, May 2018, Sued for making unsolicited telemarketing calls to consumers, Not available, Telecommunications, Telecommunications;Unsolicited Telemarketing Calls;Legal Services   ,,
MGM Resorts International,12000000, November 2017, Accused of sending unsolicited text messages to customers, Not available, Hospitality, Hospitality;Unsolicited Text Messages;Legal Services,,
Bank of New York Mellon,4500000, February 2016, Fined for making automated calls without consent, Not available, Banking, Banking;Automated Calls;Legal Services,,
